date,point_forecast,mean,q10,q20,q30,q40,q50,q60,q70,q80,q90
2025-01-01,1.2223773,1.2215942,1.1230626,1.1613992,1.1832485,1.2030284,1.2223773,1.2409887,1.2626991,1.2927711,1.3396028
2025-02-01,1.2563585,1.2502017,1.1482248,1.1891646,1.213403,1.2355917,1.2563585,1.2787915,1.3061507,1.3358021,1.3880281
2025-03-01,1.286477,1.2816917,1.1694775,1.2141376,1.2430503,1.263672,1.286477,1.3101407,1.3365124,1.3725822,1.4265703
2025-04-01,1.240488,1.2406754,1.1192981,1.1689228,1.1957526,1.2162381,1.240488,1.2653589,1.2880775,1.3237736,1.3806403
2025-05-01,1.2026377,1.1969142,1.0776877,1.1280149,1.1554759,1.1801764,1.2026377,1.2274072,1.2546852,1.2890899,1.3469675
2025-06-01,1.2100198,1.1963894,1.0811385,1.1352496,1.168746,1.1853769,1.2100198,1.2333428,1.255994,1.2938039,1.3532465
2025-07-01,1.2253108,1.2151252,1.0917633,1.1474793,1.1764128,1.2029412,1.2253108,1.2509558,1.2764853,1.3113452,1.3728348
2025-08-01,1.2421811,1.2292917,1.1043029,1.1598811,1.1929151,1.2164187,1.2421811,1.266998,1.2924676,1.3304923,1.3949752
2025-09-01,1.2697351,1.2603164,1.1239274,1.1872941,1.2162873,1.2429509,1.2697351,1.2976494,1.3236798,1.3580028,1.4252182
2025-10-01,1.2496668,1.2436218,1.0962446,1.1630416,1.1938806,1.2217119,1.2496668,1.2757385,1.3041382,1.3376691,1.4098158
2025-11-01,1.2135265,1.2031627,1.0545522,1.1223581,1.1572108,1.1864622,1.2135265,1.2447274,1.2706528,1.3091385,1.3801677
2025-12-01,1.203414,1.1867242,1.0412306,1.111325,1.143337,1.1752326,1.203414,1.2308054,1.2621956,1.2912495,1.3700778
